date,amount,balance
2/1/2019,-19.7862,94.7646
2/3/2019,-4.62,74.9784
2/3/2019,-10.5,70.3584
2/3/2019,-25.2,59.8584
1/30/2019,-19.152,34.6584
1/30/2019,-0.7812,15.5064
1/31/2019,1252.6794,14.7252
1/30/2019,-9.2484,1267.4046
1/29/2019,-4.8258,1258.1562
1/29/2019,-0.651,1253.3304
1/29/2019,-75.6,1252.6794
1/29/2019,-6.468,1177.0794
1/28/2019,-0.483,1170.6114
1/28/2019,-48.2916,1170.1284
1/26/2019,-115.0128,1121.8368
1/26/2019,-84,1006.824
1/26/2019,-27.2202,922.824
1/26/2019,-9.7566,895.6038
1/26/2019,-12.0666,885.8472
1/26/2019,-24.5154,873.7806
1/25/2019,-23.625,849.2652
1/24/2019,-0.483,825.6402
1/24/2019,-0.483,825.1572
1/24/2019,-20.3532,824.6742
1/24/2019,-6.93,804.321
1/23/2019,-6.9258,797.391
1/23/2019,-0.483,790.4652
1/22/2019,-4.2,789.9822
1/22/2019,-0.483,785.7822
1/22/2019,-0.483,785.2992
1/21/2019,-5.355,784.8162
1/19/2019,-10.4622,779.4612
1/18/2019,-3.6036,768.999
1/19/2019,-8.337,765.3954
1/20/2019,-20.7564,757.0584
1/19/2019,-4.6788,736.302
1/21/2019,-6.93,731.6232
1/20/2019,-7.3962,724.6932
1/18/2019,-0.483,717.297
1/18/2019,-0.483,716.814
1/18/2019,-0.483,716.331
1/17/2019,-14.0994,715.848
1/18/2019,-16.8,701.7486
1/16/2019,-10.4916,684.9486
1/16/2019,-0.483,674.457
1/16/2019,-0.483,673.974
1/16/2019,-6.006,673.491
1/15/2019,-0.483,667.485
1/14/2019,-0.483,667.002
1/14/2019,-0.483,666.519
1/12/2019,-0.8904,666.036
1/13/2019,-33.5748,665.1456
1/11/2019,-10.7646,631.5708
1/14/2019,-7.7658,620.8062
1/12/2019,-32.8314,613.0404
1/11/2019,-0.483,580.209
1/11/2019,-210,579.726
1/10/2019,-0.483,369.726
1/10/2019,-13.23,369.243
1/9/2019,-0.483,356.013
1/9/2019,-12.6462,355.53
1/8/2019,-13.2846,342.8838
1/8/2019,-0.4158,329.5992
